2025-06-18 10:13:01,261 - INFO - Creado estándar para producto 10210200369, proceso: 3060, máquina 2003
2025-06-18 10:13:01,263 - INFO - Creado estándar para producto 10210200407, proceso: 1020, máquina 1002
2025-06-18 10:13:01,266 - INFO - Creado estándar para producto 10210200407, proceso: 2150, máquina 1202
2025-06-18 10:13:01,269 - INFO - Creado estándar para producto 10210200407, proceso: 2370, máquina 1402
2025-06-18 10:13:01,271 - INFO - Creado estándar para producto 10210200407, proceso: 2320, máquina 1601
2025-06-18 10:13:01,273 - INFO - Creado estándar para producto 10210200407, proceso: 3060, máquina 2002
2025-06-18 10:13:01,277 - INFO - Creado estándar para producto 1021020044K, proceso: 1020, máquina 1002
2025-06-18 10:13:01,280 - INFO - Creado estándar para producto 1021020044K, proceso: 2150, máquina 1202
2025-06-18 10:13:01,282 - INFO - Creado estándar para producto 1021020044K, proceso: 2370, máquina 1402
2025-06-18 10:13:01,286 - INFO - Creado estándar para producto 1021020044K, proceso: 2320, máquina 1601
2025-06-18 10:13:01,288 - INFO - Creado estándar para producto 1021020044K, proceso: 3060, máquina 2002
2025-06-18 10:13:01,290 - INFO - Creado estándar para producto 1021020044K, proceso: 6090, máquina 6010
2025-06-18 10:13:01,294 - INFO - Creado estándar para producto 10210200482, proceso: 1020, máquina 1002
2025-06-18 10:13:01,297 - INFO - Creado estándar para producto 10210200482, proceso: 2150, máquina 1202
2025-06-18 10:13:01,299 - INFO - Creado estándar para producto 10210200482, proceso: 2395, máquina 1402
2025-06-18 10:13:01,303 - INFO - Creado estándar para producto 10210200482, proceso: 2320, máquina 1601
2025-06-18 10:13:01,305 - INFO - Creado estándar para producto 10210200482, proceso: 3060, máquina 2002
2025-06-18 10:13:01,307 - INFO - Creado estándar para producto 10210200482, proceso: 6090, máquina 6010
2025-06-18 10:13:01,310 - INFO - Creado estándar para producto 10210200725, proceso: 1020, máquina 1002
2025-06-18 10:13:01,313 - INFO - Creado estándar para producto 10210200725, proceso: 2150, máquina 1202
2025-06-18 10:13:01,316 - INFO - Creado estándar para producto 10210200725, proceso: 2370, máquina 1402
2025-06-18 10:13:01,319 - INFO - Creado estándar para producto 10210200725, proceso: 2320, máquina 1601
2025-06-18 10:13:01,322 - INFO - Creado estándar para producto 10210200725, proceso: 3060, máquina 2002
2025-06-18 10:13:01,324 - INFO - Creado estándar para producto 10210200725, proceso: 6090, máquina 6010
2025-06-18 10:13:01,327 - INFO - Creado estándar para producto 10210200881, proceso: 1020, máquina 1001
2025-06-18 10:13:01,330 - INFO - Creado estándar para producto 10210200881, proceso: 2150, máquina 1202
2025-06-18 10:13:01,333 - INFO - Creado estándar para producto 10210200881, proceso: 2320, máquina 1601
2025-06-18 10:13:01,336 - INFO - Creado estándar para producto 10210200881, proceso: 2395, máquina 1402
2025-06-18 10:13:01,338 - INFO - Creado estándar para producto 10210200881, proceso: 3060, máquina 2003
2025-06-18 10:13:01,340 - INFO - Creado estándar para producto 10210200881, proceso: 6090, máquina 6010
2025-06-18 10:13:01,343 - INFO - Creado estándar para producto 10210200962, proceso: 1020, máquina 1002
2025-06-18 10:13:01,347 - INFO - Creado estándar para producto 10210200962, proceso: 2150, máquina 1207
2025-06-18 10:13:01,349 - INFO - Creado estándar para producto 10210200962, proceso: 2395, máquina 1421
